TheriakPTpath version: EDK20160901
No.,T(C),P(bars),Xalm,Xprp,Xsps,Xgrs,Mg#,Fe#,obs_Xalm,obs_Xprp,obs_Xsps,obs_Xgrs,obs_Mg#,obs_Fe#,GrtVolCC,GrtCumulMode,GrtG(J),blk_Si,blk_Al,blk_Fe,blk_Mg,blk_Mn,blk_Ca,blk_Na,blk_K,blk_Ti,blk_H
23,565.44223000,6228.94030000,0.73066935,0.078544774,0.031824854,0.15896102,0.097063030,0.90293697,0.72660000,0.080400000,0.031900000,0.16110000,0.099628253,0.90037175,1.387885810,1.085508557,1.0196300e-12,67.8905230,10.6936810,2.73380840,1.94695280,0.0100183070,0.389741610,1.08000000,2.57000000,0.740000000,100.000000
24,567.74176000,6361.25910000,0.73377247,0.081478957,0.024280906,0.16046767,0.099943348,0.90005665,0.73300000,0.081800000,0.024300000,0.16080000,0.10039273,0.89960727,3.341789130,1.258502750,-5.7642800e-13,67.8050700,10.6367120,2.67125570,1.94014240,0.00756449370,0.376105320,1.08000000,2.57000000,0.740000000,100.000000
25,567.49431000,6455.70750000,0.73036455,0.080747189,0.022296549,0.16659171,0.099551252,0.90044875,0.72440000,0.083600000,0.022400000,0.16960000,0.10346535,0.89653465,0.9726626200,1.309074366,4.0900600e-13,67.7689870,10.6126570,2.64481020,1.93720920,0.00670679910,0.370258700,1.08000000,2.57000000,0.740000000,100.000000
26,567.53291000,6581.77650000,0.72645357,0.080382966,0.019234247,0.17392922,0.099627326,0.90037267,0.72190000,0.082500000,0.019300000,0.17640000,0.10256091,0.89743909,1.723691900,1.398677856,2.6290100e-13,67.7277410,10.5851600,2.61475290,1.93388530,0.00584169460,0.363259110,1.08000000,2.57000000,0.740000000,100.000000
27,570.10221000,6608.41170000,0.73181582,0.084390085,0.015690429,0.16810366,0.10339313,0.89660687,0.73070000,0.084900000,0.015700000,0.16870000,0.10409514,0.89590486,2.561024970,1.531504988,-9.1127100e-13,67.6755220,10.5503480,2.57669840,1.92960210,0.00491627550,0.354303660,1.08000000,2.57000000,0.740000000,100.000000
28,570.29100000,6769.76690000,0.72615329,0.084261362,0.012597807,0.17698754,0.10397315,0.89602685,0.72590000,0.084400000,0.012600000,0.17710000,0.10415895,0.89584105,2.548055150,1.664305135,1.9180200e-12,67.5996050,10.4997360,2.52129070,1.92319940,0.00381125540,0.341301780,1.08000000,2.57000000,0.740000000,100.000000
29,572.40492000,6772.55510000,0.73049230,0.087795954,0.010797867,0.17091388,0.10729221,0.89270779,0.73010000,0.088000000,0.010800000,0.17110000,0.10756631,0.89243369,1.909701280,1.763550119,-1.8083300e-12,67.5561720,10.4707800,2.48967930,1.91948300,0.00329383200,0.333713510,1.08000000,2.57000000,0.740000000,100.000000
30,575.39836000,6859.69520000,0.73218213,0.092860529,0.0076987173,0.16725863,0.11255240,0.88744760,0.73200000,0.092900000,0.0077000000,0.16740000,0.11261971,0.88738029,4.075290770,1.975978828,-1.1164400e-12,67.4567350,10.4044880,2.41696000,1.91054470,0.00235680040,0.316870760,1.08000000,2.57000000,0.740000000,100.000000
31,576.64050000,6949.80830000,0.73009707,0.094947152,0.0061964705,0.16875930,0.11508129,0.88491871,0.72890000,0.095500000,0.0062000000,0.16930000,0.11584182,0.88415818,2.535231850,2.108533857,1.1704000e-12,67.3873050,10.3582010,2.36617330,1.90404710,0.00186027710,0.305221450,1.08000000,2.57000000,0.740000000,100.000000
32,577.92051000,7111.98690000,0.72426657,0.097055425,0.0044911634,0.17418684,0.11816976,0.88183024,0.72110000,0.098700000,0.0045000000,0.17570000,0.12039522,0.87960478,3.710670570,2.303070588,6.2661000e-13,67.2922810,10.2948520,2.29702150,1.89494250,0.00134278020,0.288971340,1.08000000,2.57000000,0.740000000,100.000000
33,580.00184000,7181.11870000,0.72357661,0.10093136,0.0034956082,0.17199642,0.12241405,0.87758595,0.72250000,0.10150000,0.0035000000,0.17250000,0.12317961,0.87682039,2.941686310,2.457307952,1.7604800e-12,67.2201040,10.2467340,2.24476310,1.88782900,0.00104813020,0.276461120,1.08000000,2.57000000,0.740000000,100.000000
34,579.86161000,7189.06340000,0.72300550,0.10064774,0.0034932714,0.17285349,0.12219674,0.87780326,0.71580000,0.10240000,0.0042000000,0.17760000,0.12515277,0.87484723,0.0001604842400,2.457359285,-3.2363000e-13,67.2014280,10.2342830,2.23124960,1.88594400,0.000982846550,0.273248930,1.08000000,2.57000000,0.740000000,100.000000
