isoFit version: isoFit0.1
No.	T(C)	P(bars)	Xalm	Xprp	Xsps	Xgrs	Mg#	Fe#	obs_Xalm	obs_Xprp	obs_Xsps	obs_Xgrs	obs_Mg#	obs_Fe#	GrtVolCC	GrtCumulMode	blk_Si	blk_Al	blk_Fe	blk_Mg	blk_Mn	blk_Ca	blk_Na	blk_K	blk_Ti	blk_H
29	510.93917000	7342.52030000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.72020000	0.066200000	0.066900000	0.14670000	0.084181078	0.91581892	0.4428211920	1.601801418	49.3879790	24.1319870	3.87359820	2.35705190	0.0212649430	0.256065190	2.25000000	6.13000000	0.820000000	60.0000000
30	483.23079000	12155.59800000	0.51892562	0.017416341	0.072257377	0.39140066	0.032472457	0.96752754	0.71980000	0.066700000	0.065900000	0.14770000	0.084806103	0.91519390	7.959463796	2.046527512	49.1903330	24.0002230	3.76896650	2.35285740	0.00769067980	0.180819190	2.25000000	6.13000000	0.820000000	60.0000000
31	472.57403000	12846.30000000	0.49862705	0.015380257	0.073950507	0.41204219	0.029922255	0.97007774	0.71930000	0.067200000	0.064800000	0.14860000	0.085441831	0.91455817	0.01816555960	2.050665641	49.1881670	23.9987790	3.76784890	2.35282030	0.00753356820	0.179964760	2.25000000	6.13000000	0.820000000	60.0000000
32	459.70210000	13763.80000000	0.47849129	0.013207407	0.066331717	0.44196959	0.026860773	0.97313923	0.71880000	0.067800000	0.063800000	0.14960000	0.086193745	0.91380625	0.6195361680	2.088455479	49.1731230	23.9887500	3.76051270	2.35260680	0.00647634430	0.173527810	2.25000000	6.13000000	0.820000000	60.0000000
33	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.72270000	0.070900000	0.052300000	0.15410000	0.089339718	0.91066028	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023750	2.35259920	0.00643819230	0.173273600	2.25000000	6.13000000	0.820000000	60.0000000
34	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.73210000	0.072400000	0.051100000	0.14440000	0.089993785	0.91000622	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
35	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.73380000	0.075800000	0.047900000	0.14240000	0.093626482	0.90637352	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
36	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.74890000	0.074400000	0.040100000	0.13650000	0.090368031	0.90963197	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
37	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.74650000	0.079800000	0.035100000	0.13860000	0.096575094	0.90342491	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
38	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.74680000	0.081600000	0.033100000	0.13860000	0.098503139	0.90149686	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
39	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.74710000	0.083300000	0.031100000	0.13850000	0.10031310	0.89968690	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
40	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.75690000	0.082100000	0.026600000	0.13440000	0.097854589	0.90214541	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
41	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.76220000	0.082800000	0.024000000	0.13100000	0.097988166	0.90201183	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
42	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.76740000	0.083600000	0.021400000	0.12760000	0.098237368	0.90176263	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
43	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.77470000	0.089100000	0.017400000	0.11870000	0.10314888	0.89685112	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
44	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.78430000	0.089500000	0.015700000	0.11050000	0.10242618	0.89757382	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
45	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.78300000	0.090900000	0.014700000	0.11130000	0.10401648	0.89598352	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
46	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.78170000	0.092400000	0.013700000	0.11220000	0.10570873	0.89429127	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
47	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.78180000	0.097200000	0.012500000	0.10840000	0.11058020	0.88941980	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
48	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.78280000	0.097300000	0.012100000	0.10770000	0.11055562	0.88944438	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
49	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.78380000	0.097400000	0.011700000	0.10700000	0.11053109	0.88946891	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
50	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.78480000	0.097500000	0.011400000	0.10630000	0.11050663	0.88949337	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
51	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.78580000	0.097700000	0.011000000	0.10550000	0.11058291	0.88941709	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
52	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.78680000	0.097800000	0.010600000	0.10480000	0.11055844	0.88944156	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
53	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.78780000	0.097900000	0.010200000	0.10410000	0.11053404	0.88946596	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
54	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.78340000	0.096100000	0.0090000000	0.11150000	0.10926663	0.89073337	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
55	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.77890000	0.094400000	0.0078000000	0.11900000	0.10809573	0.89190427	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
56	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.77920000	0.095100000	0.0076000000	0.11810000	0.10877273	0.89122727	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
57	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.77950000	0.095800000	0.0074000000	0.11730000	0.10944819	0.89055181	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
58	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.77980000	0.096500000	0.0072000000	0.11640000	0.11012210	0.88987790	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
59	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.78020000	0.097200000	0.0070000000	0.11560000	0.11078186	0.88921814	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
60	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.78050000	0.097900000	0.0068000000	0.11480000	0.11145264	0.88854736	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
61	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.78080000	0.098700000	0.0066000000	0.11390000	0.11222285	0.88777715	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
